KODE APOTIK,Nama,Alamat,NPWP,NPPKP,PBF,SIPA,no_ijin,nama_apj,kode_petugas,delete_reason,Status,Latitude,Longitude,Kode Pos,Provinsi,Kabupaten,Kecamatan,Kelurahan,Kontak,validasi
Apt ANS01,Apotek Anugerah Sehat,"JL. RAYA SOLO-GAWOK KM 3 MAYANG ,GATAK, SUKOHARJO, JAWA TENGAH, Saripan, Mayang, SUKOHARJO, Kabupaten Sukoharjo, Jawa Tengah 57557",,,,,,,,,active,-7.579806507,110.7583961,57557,JAWA TENGAH,KABUPATEN SUKOHARJO,,Maya-Gatak-SKH,08122605580 / 08156868446,validated
APT-MGSHT,"Apotek Mugi Sehat, SKH","Jl. Tentara Pelajar 281, Klumprit, SKH",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,SKH,0271 5858984,
Apt. aryfr,Apotek Arya Farma Temanggung,"Tembarak_temanggung No.KM. 2, RT.02/RW.03, Pikatan, Mudal, Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah 56228",,,,,,,,,active,-7.341119576,110.1830745,56228,JAWA TENGAH,KABUPATEN TEMANGGUNG,,TEMANGGUNG,,
Apt.0001,Toko Isyka (CV Azzikr Farabbi),Jl. Adi Sucipto 117 Jajar,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Surakarta,(0271) 735583,
Apt.24,Apotek 24 Jam,"Jl. Slamet Riyadi No.432, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57142",,,,,,,,,active,-7.563275569,110.8000262,57142,JAWA TENGAH,,,Surakarta,(0271) 7882240,validated
Apt.24PLR,Apotek  Pasar Palur,"Ngringo, Jl. Solo - Sragen, Ngringo, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57772",,,,,,,,,active,-7.566719737,110.8750867,57772,JAWA TENGAH,KABUPATEN KARANGANYAR,JATEN,Sukoharjo,0271 8003913,validated
Apt.24plss,Apotek 24 Plus Sukoharjo,"Jl. Jend. Sudirman No.75, Gudangsari, Gayam, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57512",,,,,,,,,active,-7.561519234,110.7557658,57512,JAWA TENGAH,KABUPATEN SUKOHARJO,SUKOHARJO,GAYAM,,validated
Apt.24SLTG,Apotek Siaga 24 Jam,"Ruko Tamansari No. 18, Jl. Jenderal Sudirman, Salatiga, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50711",,,,,,,,,active,-7.326213638,110.5049599,50711,JAWA TENGAH,,,Salatiga,0298 314978,validated
Apt.24SMB,"Apotek 24, Sumber","Jl. Letjen Suprapto No.66, Sumber, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57138",,,,,,,,,active,-7.546150335,110.805476,57138,JAWA TENGAH,,,Surakarta,(0271) 732808,validated
Apt.37,Apotek Tiga Tujuh,Jl. Praci-Makam Haji-KTS,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sukoharjo,(0271) 7001902,
Apt.37hmid,Apotek 37,"Jl. Bengawan Solo No.37, Semanggi, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57191",,,,,,,,,active,-7.588266731,110.8315909,57191,JAWA TENGAH,,PASAR KLIWON,SURAKARTA,(0271)654065,validated
Apt.3ANG,Apotek 3 Anugrah,"Jarum, Sidoharjo, Kec. Sidoharjo, Kabupaten Wonogiri, Jawa Tengah 57682",,,,,,,,apotik tutup permanen,deleted,,,,JAWA TENGAH,,,Girimarto,85647070997,
Apt.3Dara,Apotek Tiga  Dara,"Jalan Mangu-Sambi Km.1, Gungung Sari, Sobokerto, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57378",,,,,,,,,active,-7.504850612,110.7433301,57378,JAWA TENGAH,KABUPATEN BOYOLALI,NGEMPLAK,Boyolali,81327794808,validated
